Step,s,e,i,r
0,237,13,0,0
1,235,13,2,0
2,235,9,6,0
3,234,9,6,1
4,233,10,6,1
5,232,9,8,1
6,231,9,9,1
7,230,9,10,1
8,229,10,9,2
9,228,8,12,2
10,225,10,13,2
11,225,9,14,2
12,223,9,16,2
13,223,8,17,2
14,219,11,17,3
15,217,11,19,3
16,213,14,19,4
17,213,10,23,4
18,209,12,25,4
19,209,9,27,5
20,209,8,28,5
21,209,7,29,5
22,208,7,30,5
23,204,10,31,5
24,203,9,33,5
25,202,10,33,5
26,198,13,34,5
27,194,13,37,6
28,190,15,37,8
29,184,16,41,9
30,179,16,46,9
31,176,18,46,10
32,174,18,47,11
33,171,18,49,12
34,168,18,52,12
35,165,17,55,13
36,163,17,56,14
37,162,15,59,14
38,162,12,61,15
39,159,13,63,15
40,157,14,64,15
41,155,11,69,15
42,153,9,69,19
43,152,10,66,22
44,148,12,68,22
45,143,17,68,22
46,141,18,68,23
47,140,17,69,24
48,137,18,70,25
49,134,17,73,26
50,133,12,79,26
51,132,11,81,26
52,128,15,79,28
53,126,13,83,28
54,125,10,87,28
55,123,8,89,30
56,120,10,88,32
57,117,10,90,33
58,117,8,90,35
59,117,6,91,36
60,115,7,91,37
61,115,5,92,38
62,112,6,92,40
63,109,7,94,40
64,107,9,92,42
65,106,10,92,42
66,106,9,91,44
67,105,8,92,45
68,102,10,93,45
69,99,10,94,47
70,98,10,93,49
71,97,8,95,50
72,97,7,95,51
73,96,7,96,51
74,94,9,95,52
75,94,7,95,54
76,93,6,95,56
77,91,7,94,58
78,91,5,95,59
79,90,3,97,60
80,90,3,96,61
81,89,4,95,62
82,86,4,98,62
83,83,6,97,64
84,82,7,95,66
85,79,10,93,68
86,77,11,92,70
87,74,12,94,70
88,72,14,94,70
89,72,12,94,72
90,71,12,95,72
91,70,12,96,72
92,70,11,97,72
93,70,10,98,72
94,69,9,99,73
95,69,9,97,75
96,68,7,100,75
97,65,10,99,76
98,63,12,98,77
99,62,12,99,77
100,60,13,100,77
101,60,12,100,78
102,60,11,100,79
103,59,10,100,81
104,59,9,101,81
105,59,7,103,81
